complaint_id,product,text
11750738,Checking or savings account,bank located in has received my check of showed no proof of fraudulent volunteering closing out my accounts while in her presenc walked out with instead of closed accounts showed no proof to me that my check was fraudulent stealing my money from work study i received from a work study job through xxxx xxxx xxxx xxxx xxxx i was treated unfairly they didnt give none of documents just word of mouth
7166095,Checking or savings account,overdraft fees being charged and atm fees being charged twice
8225373,Checking or savings account,i am writing to formally submit a complaint against capital one concerning two disputed transactions with xxxx the first dispute claim xxxx was initiated in xx xx xxxx involving a transaction amounting to the second dispute claim xxxx was filed on xx xx xxxx for an additional charge of both claims were denied by capital one and i am deeply concerned about the lack of thorough investigation and proper resolution in both instances in the initial dispute claim xxxx capital one s response was
8225373,Checking or savings account,dispute claim xxxx capital one s response was received within one day leaving me with the impression that a comprehensive investigation had not taken place despite my attempts to pursue the matter further subsequent communications were met with generic responses and an absence of supporting documentation i took the initiative to contact capital one s investigation team via email on xx xx xxxx but unfortunately there was no response regrettably the situation escalated when i discovered another
8225373,Checking or savings account,the situation escalated when i discovered another charge from xxxx this time amounting to and multiple denied charges due to the daily limit given the history of the dispute and the denied transactions it is disconcerting that the bank did not identify this as suspicious activity leading to another round of inconvenience for me to address this i closed my debit card and promptly initiated another dispute claim xxxx on xx xx xxxx referencing the previous claim and providing a detailed history of
8225373,Checking or savings account,claim and providing a detailed history of my interactions with xxxx despite my efforts to highlight the recurring issues and emphasize the unauthorized nature of the transactions claim xxxx was once again denied by capital one with the assertion that the transactions were authorized i strongly believe that these denials reflect a failure on capital one s part to conduct a diligent review of the cases i am seeking your assistance in investigating the handling of these disputes by capital one and
8225373,Checking or savings account,the handling of these disputes by capital one and ensuring that a thorough and impartial examination is conducted the apparent oversight in reviewing the transactions poses a serious concern and i am hopeful that your intervention will facilitate a fair resolution i appreciate your attention to this matter and look forward to a prompt and fair resolution
6072035,Checking or savings account,on xx xx xxxx i rented a car from xxxx credit card hold xxxx xxxx debit card hold chase cash deposit on xx xx xxxx due separate issues with the car i returned the car i was supposed to get a refund the refund was deposit returned the credit card they stated was never charged my was never returned to my debit card the last bewildered i got customer service telling me to stop contacting them chase bank xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx
7364149,Checking or savings account,xx xx xxxx from xxxx xxxx xxxx xxxx xxxxxxxx reference xxxx xxxx xxxx the fraudulent company reference wells fargo bank to consumer financial protection bureau this is an ombudsman letter addressed to consumer financial protection bureau dear sir madam i urgently need to draw your attention to a distressing issue concerning the financial company name wells fargo bank xxxx unfortunately i have become a victim of a carefully planned scam orchestrated by an entity called xxxx xxxx xxxx this
7364149,Checking or savings account,by an entity called xxxx xxxx xxxx this fraudulent company has deceptively presented itself and has employed illegal and manipulative tactics leading to a substantial financial loss i am writing to seek your immediate assistance in resolving this critical situation i regret to inform you that i have fallen victim to a fraudulent company called xxxx xxxx xxxx they presented themselves as a legitimate business offering promotional and legal campaign services but unfortunately they did not deliver
7364149,Checking or savings account,services but unfortunately they did not deliver on their promises i have not received any returns or services as expected what s more all the funds i deposited with them have not been refunded causing significant financial distress it is evident that their practices were illegal manipulative and a direct violation of the law and our contractual agreement after obtaining my funds the company disappeared without any explanation or notice making it impossible to contact them or resolve the issue
7364149,Checking or savings account,impossible to contact them or resolve the issue despite my persistent efforts to reach out to them and other parties involved i have been unsuccessful in finding a resolution i kindly request that you initiate a dispute against xxxx xxxx xxxx and the relevant parties involved in order to seek resolution and recover the funds the dispute is justified based on the following reasons goods or services not provided not as described or defective merchandise questionable merchant activity
7364149,Checking or savings account,merchandise questionable merchant activity misrepresentation fraudulent action money laundering identity theft terror affiliate misappropriation of assets or funds authorized push payment scam on xx xx xxxx i took the necessary steps to initiate the dispute process with my bank wells fargo bank in hopes of recovering the funds i attached copies of the letters i submitted to my bank along with the relevant evidence highlighting the fraudulent nature of the situation however it is with deep
7364149,Checking or savings account,nature of the situation however it is with deep disappointment that i inform you that i didnt receive a response from my bank they seem to not care about the incident that i have encountered by not responding to it it leaves me with the disheartening feeling that i was a victim of deception falsehood and manipulation it is disheartening that they failed to acknowledge and understand the gravity of the scam i fell victim to scam story and context in pursuit of my dream to represent the people as
7364149,Checking or savings account,in pursuit of my dream to represent the people as a senator in the u s senate i sought to engage the services of a reputable promotion company named xxxx xxxx xxxx with great hope and anticipation i signed a contract with them on xx xx xxxx with the agreement spanning until the xx xx xxxx election date regrettably what started as a promising collaboration soon turned into a nightmare of fraudulent practices that not only caused financial harm but also left me disheartened by the violation of
7364149,Checking or savings account,but also left me disheartened by the violation of ethical and legal standards from the outset xxxx xxxx xxxx made grandiose promises claiming to possess the expertise and capabilities needed to effectively promote my campaign and connect me with potential supporters they assured me of their dedication to our shared vision and the success of my senatorial bid however as the days turned into weeks and weeks into months their assurances proved to be nothing more than empty words despite their
7364149,Checking or savings account,to be nothing more than empty words despite their assurances there was no plan or action in progress to promote my campaign vital opportunities to reach a wider audience were lost as they failed to deliver on their marketing strategies leaving me unable to effectively communicate my vision and objectives to potential voters what added to my frustration was their lack of responsiveness attempting to get in touch with the company became an exercise in futility countless emails and phone calls
7364149,Checking or savings account,in futility countless emails and phone calls went unanswered and each time i managed to establish contact they provided a litany of excuses among these the covid pandemic was cited as the culprit for their inability to fulfill their contractual obligations though the pandemic was an unprecedented global challenge it should not have served as a convenient shield for fraudulent practices while i empathize with the difficulties faced by businesses during those times it can not excuse the betrayal
7364149,Checking or savings account,during those times it can not excuse the betrayal of trust and the financial harm they caused me despite my continued efforts to reason with them xxxx xxxx xxxx remained unmoved they refused to provide a satisfactory explanation for their failures or offer any recourse to remedy the situation requests for a refund were met with further evasions leaving me in a vulnerable financial position after investing substantial resources into their deceptive services the impact of their deceptive actions
7364149,Checking or savings account,services the impact of their deceptive actions reverberated far beyond financial loss the breach of trust has cast a shadow over my campaign tarnishing the image i sought to project as a trustworthy and transparent candidate the damage to my reputation and the lost opportunities to connect with voters have left me deeply disillusioned and questioning the fairness of the electoral process as i reflect on this experience it becomes clear that the path to public service is fraught with challenges
7364149,Checking or savings account,path to public service is fraught with challenges the ordeal with xxxx xxxx xxxx serves as a stark reminder of the importance of due diligence when engaging with external entities it also highlights the need for increased scrutiny of companies offering promotional services to political candidates my hope is that this account will shed light on the dangers of fraudulent practices in the electoral landscape prompting lawmakers and regulatory bodies to take the necessary steps to protect aspiring
7364149,Checking or savings account,to take the necessary steps to protect aspiring candidates from unscrupulous actors as i navigate the aftermath of this betrayal i vow to continue my pursuit of serving the people with integrity and dedication regardless of the obstacles that may lie ahead desired outcome i am reaching out to discuss several critical matters concerning the fraudulent activity that has occurred on my wells fargo bank account i expect wells fargo bank to acknowledge their involvement in the recent fraudulent
7364149,Checking or savings account,their involvement in the recent fraudulent activity on my bank account and accept full responsibility for the transactions the bank should immediately initiate a thorough investigation into the fraudulent transactions to determine how their security measures failed leading to the successful execution of the fraud it is imperative that i emphasize the involvement of wells fargo bank in these fraudulent transactions they were the ones who authorized and executed these transactions making them
7364149,Checking or savings account,and executed these transactions making them directly responsible for the fraudulent activity the financial ombudsman service fos has explicitly stated that banks and financial institutions must consider the evolving and sophisticated nature of fraud and should no longer refuse refunds in such circumstances in line with the financial ombudsman service s guidelines wells fargo bank should refrain from labeling me as grossly negligent and recognize that i as a victim should not bear the burden of
7364149,Checking or savings account,that i as a victim should not bear the burden of the fraudulent activity i find it both criminal and unjustifiable that wells fargo bank is evading their responsibility and placing the blame on me their client who has placed complete trust in their financial institution to safeguard my life savings their actions demonstrate a lack of professionalism disregard for regulations and a substandard approach to customer protection such behavior contradicts the very purpose for which financial
7364149,Checking or savings account,contradicts the very purpose for which financial institutions were established i am utterly perplexed by the resistance shown by wells fargo bank to providing me with a refund for the funds that were wrongfully taken by these scammers when i authorized the payments i had no knowledge of the fraudulent nature of the companies involved and it was only after the fact that i uncovered the truth i strongly urge wells fargo bank to take full responsibility for the situation and take proactive steps
7364149,Checking or savings account,for the situation and take proactive steps to recover my stolen funds it is crucial to consider that the fraudulent company not only failed to provide any services but also intentionally misrepresented themselves to deceive me i urge the bank to prioritize customer protection and demonstrate professionalism in handling such cases to prevent innocent and inexperienced clients from falling victim to similar fraudulent schemes in the future the bank should communicate clearly and transparently
7364149,Checking or savings account,bank should communicate clearly and transparently with me throughout the resolution process providing updates on the investigation and refund status i request the recovery of my funds under code fraud or code misrepresentation according to xxxx and xxxx xxxx rules no xxxx xxxx it is mandatory to conduct a physical inspection of the listed premises of a business before allowing them to accept payments it is imperative that both banks adhere to this rule and acknowledge their role in the
7364149,Checking or savings account,to this rule and acknowledge their role in the fraudulent transactions unbeknownst transfer of funds the funds were transferred to xxxx xxxx xxxx xxxx company that deceitfully presented itself as a legitimate entity offering social promotional and legal campaign services they falsely claimed to generate profits for their clients but in reality they never provided any such services their objective was to unlawfully extract money from unsuspecting individuals fake documentation xxxx xxxx xxxx
7364149,Checking or savings account,individuals fake documentation xxxx xxxx xxxx xxxx the company went to great lengths to create fabricated documents that portrayed them as legitimate these documents were used to deceive me and others into believing in their credibility and entrusting them with our funds in truth they had no intention of providing any services and solely aimed to defraud people and seize their money lack of received services despite depositing funds with the expectation of receiving the promised service this
7364149,Checking or savings account,of receiving the promised service this company abruptly gave a lot of different unjustified reasons blocked my account and vanished without providing any of the services they claimed to offer this left me in a state of shock and financial distress as the funds i entrusted to them were never returned deception i was deceived into depositing funds under the false pretense that they would generate substantial profits however the promises made by the scammers turned out to be empty lies not only
7364149,Checking or savings account,the scammers turned out to be empty lies not only were the profits never realized but my money was also misappropriated and i have not received any form of reimbursement as they had claimed in summary i did not receive any of the promised services from xxxx xxxx xxxx on the contrary their actions exacerbated my situation leading to further financial losses and significant harm to my overall financial well being description of services actually received the xxxx xxxx xxxx company deliberately
7364149,Checking or savings account,received the xxxx xxxx xxxx company deliberately misrepresented themselves by falsely advertising their services in campaigns and services they assured me that i would receive services by following their instructions and engaging in various transactions however these promises were nothing more than deceptive tactics employed to deceive and extract money from me in reality the services they claimed to provide were nonexistent the scammers lacked the competence and ability to fulfill their
7364149,Checking or savings account,the competence and ability to fulfill their promises of quality and expertise it is evident that their intentions were to intentionally mislead me and exploit my trust for their own financial gain i would like to bring to your attention the disappointing reaction to wells fargo bank for not responding to this case that xxxx xxxx xxxx was a fraudulent and illegitimate company i tried to reach out to them many times but their failure to address the issue and take steps to resolve it suggests
7364149,Checking or savings account,the issue and take steps to resolve it suggests potential complicity in the crime i strongly believe that this situation presents an opportunity for wells fargo bank to assist not only me as their customer but also other individuals who may become victims of fraudulent companies like xxxx xxxx xxxx it is imperative for a bank to fulfill their duty of protecting their customers and promptly rectifying such situations i urge them to take this matter seriously and provide the necessary support to
